Original,Original_clean,Modified,Remarks,QC flag,remove,sp,spp,Felipe_ID,Photo_check,modified flag,RDS comments,Felipe comments,Pic verification needed 
Actiniidae,Actiniidae,Actiniidae,sea anemone catch-all,,,,,,,,,,
Sea anemone maybe Diadumene lineata but difficult to ID,Actiniidae,Actiniidae,,1,,,,,,1,,"anemones get distroyed during preservation and processing, too hard to ID",
Sea anemone perhaps Epiactis prolifera difficult to ID,Actiniidae,Actiniidae,,1,,,,,,1,,"anemones get distroyed during preservation and processing, too hard to ID",
Alia carinata,Alia carinata,Alia carinata,,,,,,1,,,,,
Alvania compacta,Alvania compacta,Alvania compacta,,,,,,1,,,,,
Rissoidae,Rissoidae,Alvania compacta,likely Alvania compacta,1,,,,,,1,"Changed to Alvania for now, will try to find photo","Agreed, probably Alvania",X
Americorphium,Americorophium,Americorophium,,,,,,,,,Fix spelling ,,
Amphissa,Amphissa,Amphissa columbiana,,,,,,,,1,,,
Amphissa columbiana,Amphissa columbiana,Amphissa columbiana,,,,,,,,,,,
Ampithoe lacertosa,Ampithoe lacertosa,Ampithoe lacertosa,,,,,,1,,1,,,
Amphitoidae,Ampithoidae,Ampithoidae,,,,,,,,,Fix spelling,,
Ampithoe sectimanus,Ampithoe sectimanus,Ampithoidae,,,,,,,,1,,,
Ampithoe spp,Ampithoe,Ampithoidae,,,,,1,,,1,,,
Ampithoidae,Ampithoidae,Ampithoidae,,,,,,,,,,,
Amphiuridae,Amphiuridae,Ampithoidae,brittle star catch-all,,,,,,,,,,
Cymadusa uncinata,Cymadusa uncinata,Ampithoidae,some evidence of this species from Puget Sound,,,,,,,1,,,
Peramphithoe,Peramphithoe,Ampithoidae,,,,,,,,,,,
Anthuridae,Anthuridae,Anthuridae,,,,,,,,,,,
Aoridae,Aoridae,Aoroides,,,,,,,,1,,,
Aoroides,Aoroides,Aoroides,,,,,,1,,,,,
Aoroides spp,Aoroides,Aoroides,,,,,1,,,,,,
Aoroides intermedia,Aoroides intermedius,Aoroides intermedius,,,,,,1,,1,corrected species name,might have different name,
Ascidiacea,Ascidiacea,Ascidiacea,tunicate catch-all,,,,,,,,,,
Unknown sea star I think only 1 sp,Asteroidea,Asteroidea,,,,1,,,,1,,,
Balanus crenatus,Balanus crenatus,Balanus,,,,,,,,,,,
Balanus sp,Balanus,Balanus,,,,1,,,,,,,
Sessilia,Sessilia,Balanus,,,,,,,,1,,,
Bivalvia,Bivalvia,Bivalvia,very coarse resolution,1,,,,1,,,"Should be able to get these down to genus level, must have been small?",macomas and metilus most common,
Calliostoma sp,Calliostoma,Calliostoma,,,,1,,,,,Fixed spelling,,
Metacarcinus magister,Cancer magister,Cancer magister,,,,,,,,,"changed to IT IS naming for consistency, dunguness crab, Worms database uses Metacarcinus magister",,
