date,time,site,coordinates,depth (m),do (mg/l),do (%),conductivity (us/cm),salinity (ppt),temperature (c),max depth at site (m)
28-Jun-16,9:30,sandspit,"(51.40.746N, 128.06.956W)",0,11.03,117.7,30277,25.8,11.9,9
28-Jun-16,12:30,flat island,"(51.40.515N, 128.07.260W)",0,17.6,,30525,25.9,12,3.3
28-Jun-16,12:30,flat island,"(51.40.515N, 128.07.260W)",1,14.6,,30480,25.9,12,3.3
28-Jun-16,12:30,flat island,"(51.40.515N, 128.07.260W)",2,12.96,,30318,25.9,11.8,3.3
28-Jun-16,12:30,flat island,"(51.40.515N, 128.07.260W)",3,12.6,,20384,25.8,11.8,3.3
28-Jun-16,12:30,flat island,"(51.40.515N, 128.07.260W)",4,12.25,,30258,25.9,11.8,3.3
30-Jun-16,14:05,goose southeast,"(51.55.489N, 128.27.245W)",NA,NA,NA,NA,NA,NA,4.2
30-Jun-16,10:30,goose southwest,"(51.55.460N, 128.27.901W)",0,14.62,160.1,32881,26.1,14.9,5
30-Jun-16,10:30,goose southwest,"(51.55.460N, 128.27.901W)",1,12.25,138.7,32766,26.2,14.6,5
30-Jun-16,10:30,goose southwest,"(51.55.460N, 128.27.901W)",2,12,135.2,32533,26.1,14.4,5
30-Jun-16,NA,goose kelp,"(51.55.328N, 128.27.707W)",NA,NA,NA,NA,NA,NA,4
2-Jul-16,10:10,triquet north,"(51.48.534N, 128.14.831W)",0,8.21,94.6,36300,30.1,13.6,5.8
2-Jul-16,10:10,triquet north,"(51.48.534N, 128.14.831W)",1,8.18,94,36301,30.1,13.6,5.8
2-Jul-16,10:10,triquet north,"(51.48.534N, 128.14.831W)",2,8.21,94.1,36297,30.2,13.5,5.8
2-Jul-16,10:10,triquet north,"(51.48.534N, 128.14.831W)",3,8.19,94.1,36302,30.2,13.5,5.8
2-Jul-16,10:10,triquet north,"(51.48.534N, 128.14.831W)",4,8.14,93.4,36305,30.2,13.5,5.8
2-Jul-16,10:45,triquet north,"(51.48.599N, 128.14.756W)",0,8.55,98.2,36223,30,13.6,13.2
2-Jul-16,10:45,triquet north,"(51.48.599N, 128.14.756W)",1,8.52,97.9,36349,30.2,13.6,13.2
2-Jul-16,10:45,triquet north,"(51.48.599N, 128.14.756W)",2,8.47,97.2,36344,30.2,13.6,13.2
2-Jul-16,10:45,triquet north,"(51.48.599N, 128.14.756W)",3,8.45,96.9,36347,30.2,13.5,13.2
2-Jul-16,10:45,triquet north,"(51.48.599N, 128.14.756W)",4,8.4,96.2,36355,30.2,13.5,13.2
2-Jul-16,11:35,triquet kelp,"(51.48.244N, 128.15.336W)",0,9.12,99.2,36344,30.2,13.5,8.6
2-Jul-16,11:35,triquet kelp,"(51.48.244N, 128.15.336W)",1,8.28,94.7,36337,30.2,13.5,8.6
2-Jul-16,11:35,triquet kelp,"(51.48.244N, 128.15.336W)",2,8.29,96.2,36380,30.3,13.5,8.6
2-Jul-16,11:35,triquet kelp,"(51.48.244N, 128.15.336W)",3,8.48,96.6,36360,30.3,13.4,8.6
2-Jul-16,11:35,triquet kelp,"(51.48.244N, 128.15.336W)",4,8.4,96.2,36352,30.3,13.4,8.6
2-Jul-16,12:00,triquet kelp,"(51.48.340N, 128.14.436W)",0,8.45,96.9,36320,30.3,13.4,16.9
2-Jul-16,12:00,triquet kelp,"(51.48.340N, 128.14.436W)",1,8.45,96.8,36316,30.3,13.4,16.9
2-Jul-16,12:00,triquet kelp,"(51.48.340N, 128.14.436W)",2,8.42,96.6,36325,30.3,13.4,16.9
2-Jul-16,12:00,triquet kelp,"(51.48.340N, 128.14.436W)",3,8.39,96.4,36340,30.3,13.4,16.9
2-Jul-16,12:00,triquet kelp,"(51.48.340N, 128.14.436W)",4,8.43,96.4,36340,30.3,13.4,16.9
2-Jul-16,13:20,triquet bay,"(51.48.492N, 128.14.186W)",0,8.46,97,35788,29.6,13.6,2.7
2-Jul-16,13:20,triquet bay,"(51.48.492N, 128.14.186W)",1,8.28,95.3,36354,30.1,13.6,2.7
2-Jul-16,13:20,triquet bay,"(51.48.492N, 128.14.186W)",2,8.1,93.3,36345,30.2,13.6,2.7
2-Jul-16,13:20,triquet bay,"(51.48.492N, 128.14.186W)",3,8.11,93,36363,30.2,13.6,2.7
2-Jul-16,13:20,triquet bay,"(51.48.492N, 128.14.186W)",4,NA,NA,NA,NA,NA,2.7
2-Jul-16,13:45,triquet bay,"(51.48.642N, 128.14.082W)",0,8.43,96.2,36350,30.1,13.7,12.5
2-Jul-16,13:45,triquet bay,"(51.48.642N, 128.14.082W)",1,8.28,95.7,36352,30.1,13.7,12.5
2-Jul-16,13:45,triquet bay,"(51.48.642N, 128.14.082W)",2,8.26,95.3,36358,30.1,13.7,12.5
2-Jul-16,13:45,triquet bay,"(51.48.642N, 128.14.082W)",3,8.33,96,36359,30.1,13.7,12.5
2-Jul-16,13:45,triquet bay,"(51.48.642N, 128.14.082W)",4,8.28,95.5,36359,30.1,13.7,12.5
6-Jul-16,15:38,choked starfish,"(51.40.759N, 128.07.564W)",0,9.25,105,36408,30.5,13.2,4.8
6-Jul-16,15:38,choked starfish,"(51.40.759N, 128.07.564W)",1,9.11,104.2,36390,30.6,13.1,4.8
6-Jul-16,15:38,choked starfish,"(51.40.759N, 128.07.564W)",2,9.1,102.5,36199,30.5,13,4.8
6-Jul-16,15:38,choked starfish,"(51.40.759N, 128.07.564W)",3,8.95,101,36168,30.5,12.9,4.8
6-Jul-16,15:38,choked starfish,"(51.40.759N, 128.07.564W)",4,8.89,100.3,36157,30.5,12.9,4.8
6-Jul-16,15:42,choked starfish,"(51.40.721N, 128.07.499W)",0,9.11,98.5,36511,30.5,13.3,6
6-Jul-16,15:42,choked starfish,"(51.40.721N, 128.07.499W)",1,8.8,100.1,36404,30.5,13.3,6
6-Jul-16,15:42,choked starfish,"(51.40.721N, 128.07.499W)",2,8.65,97.2,36019,30.6,12.7,6
6-Jul-16,15:42,choked starfish,"(51.40.721N, 128.07.499W)",3,8.56,96.1,35987,30.6,12.6,6
6-Jul-16,15:42,choked starfish,"(51.40.721N, 128.07.499W)",4,8.48,96.3,35979,30.6,12.6,6
6-Jul-16,13:58,wolf,"(51.40.385N, 128.07.025W)",0,8.37,94,35962,30.6,12.5,5.8
6-Jul-16,13:58,wolf,"(51.40.385N, 128.07.025W)",1,8.07,91,35880,30.6,12.5,5.8
6-Jul-16,13:58,wolf,"(51.40.385N, 128.07.025W)",2,8.16,91.8,35861,30.6,12.5,5.8
6-Jul-16,13:58,wolf,"(51.40.385N, 128.07.025W)",3,8.06,90.6,35819,30.6,12.5,5.8
6-Jul-16,13:58,wolf,"(51.40.385N, 128.07.025W)",4,8.21,92,35816,30.6,12.4,5.8
6-Jul-16,14:10,wolf,"(51.40.262N, 128.07.092W)",0,8.18,91.6,36024,30.6,12.6,6.9
6-Jul-16,14:10,wolf,"(51.40.262N, 128.07.092W)",1,8.1,91.1,35807,30.6,12.4,6.9
6-Jul-16,14:10,wolf,"(51.40.262N, 128.07.092W)",2,8.02,89.9,35733,30.6,12.4,6.9
6-Jul-16,14:10,wolf,"(51.40.262N, 128.07.092W)",3,8.11,90.5,35750,30.6,12.4,6.9
6-Jul-16,14:10,wolf,"(51.40.262N, 128.07.092W)",4,7.95,89.5,35753,30.6,12.4,6.9
6-Jul-16,17:00,pruth pocket,"(51.39.559N, 128.06.964W)",0,10.1,121.5,37850,30,15.2,5.4
6-Jul-16,17:00,pruth pocket,"(51.39.559N, 128.06.964W)",1,10.94,123.8,35687,30.1,12.8,5.4
6-Jul-16,17:00,pruth pocket,"(51.39.559N, 128.06.964W)",2,9.01,100.2,35015,30.2,11.9,5.4
6-Jul-16,17:00,pruth pocket,"(51.39.559N, 128.06.964W)",3,8.55,94.2,34918,30.3,11.8,5.4
6-Jul-16,17:00,pruth pocket,"(51.39.559N, 128.06.964W)",4,7.8,87.2,34860,30.3,11.7,5.4
6-Jul-16,17:06,pruth pocket,"(51.39.533N, 128.06.942W)",0,9.69,111.7,36348,29.8,14.8,9.3
6-Jul-16,17:06,pruth pocket,"(51.39.533N, 128.06.942W)",1,10.01,112.9,35640,30.1,12.8,9.3
6-Jul-16,17:06,pruth pocket,"(51.39.533N, 128.06.942W)",2,8.31,91.6,34957,30.3,11.8,9.3
6-Jul-16,17:06,pruth pocket,"(51.39.533N, 128.06.942W)",3,8.13,89.9,34878,30.3,11.7,9.3
6-Jul-16,17:06,pruth pocket,"(51.39.533N, 128.06.942W)",4,7.9,87.2,34864,30.3,11.7,9.3
8-Jul-16,13:30,pruth bay,"(51.38.784N, 128.07.170W)",0,9.56,108.7,31456,23.8,15,1.8
8-Jul-16,13:30,pruth bay,"(51.38.784N, 128.07.170W)",1,9.15,105.6,31885,25.3,14.8,1.8
8-Jul-16,13:30,pruth bay,"(51.38.784N, 128.07.170W)",2,9.12,104.4,31872,25.3,14.7,1.8
8-Jul-16,13:30,pruth bay,"(51.38.784N, 128.07.170W)",3,NA,NA,NA,NA,NA,1.8
8-Jul-16,13:30,pruth bay,"(51.38.784N, 128.07.170W)",4,NA,NA,NA,NA,NA,1.8
8-Jul-16,13:41,pruth bay,"(51.38.837N, 128.07.167W)",0,9.04,103.4,31661,25,14.9,9.9
8-Jul-16,13:41,pruth bay,"(51.38.837N, 128.07.167W)",1,8.98,103.3,31629,25,11.9,9.9
8-Jul-16,13:41,pruth bay,"(51.38.837N, 128.07.167W)",2,8.76,100.6,32002,25.5,11.7,9.9
8-Jul-16,13:41,pruth bay,"(51.38.837N, 128.07.167W)",3,7.6,88.1,32261,25.8,14.6,9.9
8-Jul-16,13:41,pruth bay,"(51.38.837N, 128.07.167W)",4,8.46,98.8,32585,26.1,14.6,9.9
8-Jul-16,14:55,maye kelp,"(51.39.869N, 128.05.570W)",0,9.42,108.7,32449,25.5,15.2,4.3
8-Jul-16,14:55,maye kelp,"(51.39.869N, 128.05.570W)",1,8.96,104.1,32753,26.1,15,4.3
8-Jul-16,14:55,maye kelp,"(51.39.869N, 128.05.570W)",2,8.9,102.1,32740,26.4,14.4,4.3
8-Jul-16,14:55,maye kelp,"(51.39.869N, 128.05.570W)",3,8.83,101.3,33125,26.7,14.4,4.3
8-Jul-16,14:55,maye kelp,"(51.39.869N, 128.05.570W)",4,8.73,100.3,33449,27.1,14.2,4.3
8-Jul-16,15:15,maye kelp,"(51.39.851N, 128.05.688W)",0,9.11,105.4,32523,25.6,15.1,9.2
8-Jul-16,15:15,maye kelp,"(51.39.851N, 128.05.688W)",1,9.14,104.9,32537,25.7,15.1,9.2
8-Jul-16,15:15,maye kelp,"(51.39.851N, 128.05.688W)",2,9.12,105.4,32768,25.9,14.9,9.2
8-Jul-16,15:15,maye kelp,"(51.39.851N, 128.05.688W)",3,8.84,101.4,33138,26.7,14.4,9.2
8-Jul-16,15:15,maye kelp,"(51.39.851N, 128.05.688W)",4,8.95,102.4,33292,27.1,14.1,9.2
8-Jul-16,16:14,west beach kelp,"(51.38.954N, 128.09.126W)",0,8.32,96.8,36527,30,14,4.2
8-Jul-16,16:14,west beach kelp,"(51.38.954N, 128.09.126W)",1,8.27,95.9,36541,30,14,4.2
8-Jul-16,16:14,west beach kelp,"(51.38.954N, 128.09.126W)",2,8.38,97.7,36605,30.1,14,4.2
8-Jul-16,16:14,west beach kelp,"(51.38.954N, 128.09.126W)",3,8.39,97.3,36610,30,14,4.2
8-Jul-16,16:14,west beach kelp,"(51.38.954N, 128.09.126W)",4,8.38,97.6,36613,30.1,14.1,4.2
8-Jul-16,16:22,west beach kelp,"(51.38.973N, 128.09.080W)",0,8.45,98.9,36478,30,14,5.2
8-Jul-16,16:22,west beach kelp,"(51.38.973N, 128.09.080W)",1,8.29,96.1,36473,30,13.9,5.2
8-Jul-16,16:22,west beach kelp,"(51.38.973N, 128.09.080W)",2,8.17,94.8,36462,30.1,13.9,5.2
8-Jul-16,16:22,west beach kelp,"(51.38.973N, 128.09.080W)",3,8.21,95.2,36433,30.1,13.9,5.2
8-Jul-16,16:22,west beach kelp,"(51.38.973N, 128.09.080W)",4,8.18,94.7,36433,30.1,13.8,5.2
