date,region,site,latitude,longitude,mean_depth,conductivity,temperature,pressure,par,fluorometry_chlorophyll,turbidity,dissolved_oxygen,salinity,dissolved_oxygen_concentration,chl_a,phaeo,nitrate_nitrite_ugL,phosphate_ugL,silicate_ugL,bed_area_m2
6/25/2015,choked,choked_south_pigu,51.6762,-128.1223,4,35.09,11.31,14.54,129.04,1.45,0.73,98.11,30.82,8.83,0.0825,2.3012,8.4623,0.8835,18.826,340000
6/25/2015,choked,choked_south_pigu,51.6762,-128.1223,4,35.09,11.31,14.54,129.04,1.45,0.73,98.11,30.82,8.83,0.0825,2.3012,8.4623,0.8835,18.826,340000
6/25/2015,choked,choked_south_pigu,51.6762,-128.1223,4,35.09,11.31,14.54,129.04,1.45,0.73,98.11,30.82,8.83,0.0825,2.3012,8.4623,0.8835,18.826,340000
6/25/2015,choked,choked_south_pigu,51.6762,-128.1223,4,35.09,11.31,14.54,129.04,1.45,0.73,98.11,30.82,8.83,0.0825,2.3012,8.4623,0.8835,18.826,340000
6/25/2015,choked,choked_south_pigu,51.6762,-128.1223,4,35.09,11.31,14.54,129.04,1.45,0.73,98.11,30.82,8.83,0.0825,2.3012,8.4623,0.8835,18.826,340000
6/25/2015,choked,choked_south_pigu,51.6762,-128.1223,4,35.09,11.31,14.54,129.04,1.45,0.73,98.11,30.82,8.83,0.0825,2.3012,8.4623,0.8835,18.826,340000
6/25/2015,choked,choked_south_pigu,51.6762,-128.1223,4,35.09,11.31,14.54,129.04,1.45,0.73,98.11,30.82,8.83,0.0825,2.3012,8.4623,0.8835,18.826,340000
7/10/2015,choked,choked_sandspit,51.6782,-128.1147,4,34.84,10.29,14.85,246,1.84,0.6,86.81,31.43,7.96,0.0788,3.5765,14.2314,1.3045,25.9035,340000
7/10/2015,choked,choked_sandspit,51.6782,-128.1147,4,34.84,10.29,14.85,246,1.84,0.6,86.81,31.43,7.96,0.0788,3.5765,14.2314,1.3045,25.9035,340000
7/10/2015,choked,choked_sandspit,51.6782,-128.1147,4,34.84,10.29,14.85,246,1.84,0.6,86.81,31.43,7.96,0.0788,3.5765,14.2314,1.3045,25.9035,340000
7/10/2015,choked,choked_sandspit,51.6782,-128.1147,4,34.84,10.29,14.85,246,1.84,0.6,86.81,31.43,7.96,0.0788,3.5765,14.2314,1.3045,25.9035,340000
7/10/2015,choked,choked_sandspit,51.6782,-128.1147,4,34.84,10.29,14.85,246,1.84,0.6,86.81,31.43,7.96,0.0788,3.5765,14.2314,1.3045,25.9035,340000
7/1/2015,goose,goose_southeast,51.92652,-128.45317,6,38.84,14.81,12.95,319.94,0.43,0.94,124.2,31.46,10.34,0.0074,0.6352,0.5497,0.404,4.4443,569520
7/1/2015,goose,goose_southeast,51.92652,-128.45317,6,38.84,14.81,12.95,319.94,0.43,0.94,124.2,31.46,10.34,0.0074,0.6352,0.5497,0.404,4.4443,569520
7/1/2015,goose,goose_southeast,51.92652,-128.45317,6,38.84,14.81,12.95,319.94,0.43,0.94,124.2,31.46,10.34,0.0074,0.6352,0.5497,0.404,4.4443,569520
7/1/2015,goose,goose_southeast,51.92652,-128.45317,6,38.84,14.81,12.95,319.94,0.43,0.94,124.2,31.46,10.34,0.0074,0.6352,0.5497,0.404,4.4443,569520
7/1/2015,goose,goose_southeast,51.92652,-128.45317,6,38.84,14.81,12.95,319.94,0.43,0.94,124.2,31.46,10.34,0.0074,0.6352,0.5497,0.404,4.4443,569520
7/1/2015,goose,goose_southwest,51.92279,-128.46453,6,37.64,13.83,16.05,254.67,1.26,1.26,111.52,31.17,9.5,,,,,,191076
7/1/2015,goose,goose_southwest,51.92279,-128.46453,6,37.64,13.83,16.05,254.67,1.26,1.26,111.52,31.17,9.5,,,,,,191076
7/1/2015,goose,goose_southwest,51.92279,-128.46453,6,37.64,13.83,16.05,254.67,1.26,1.26,111.52,31.17,9.5,,,,,,191076
7/1/2015,goose,goose_southwest,51.92279,-128.46453,6,37.64,13.83,16.05,254.67,1.26,1.26,111.52,31.17,9.5,,,,,,191076
7/1/2015,goose,goose_southwest,51.92279,-128.46453,6,37.64,13.83,16.05,254.67,1.26,1.26,111.52,31.17,9.5,,,,,,191076
7/1/2015,goose,goose_southwest,51.92279,-128.46453,6,37.64,13.83,16.05,254.67,1.26,1.26,111.52,31.17,9.5,,,,,,191076
6/27/2015,mcmullins,mcmullin_north,52.06178,-128.41239,7,39,15.25,14.45,259.93,0.92,1.47,132.04,31.25,10.91,0.1044,3.0255,0.424,0.3311,5.9489,18500
6/27/2015,mcmullins,mcmullin_north,52.06178,-128.41239,7,39,15.25,14.45,259.93,0.92,1.47,132.04,31.25,10.91,0.1044,3.0255,0.424,0.3311,5.9489,18500
6/27/2015,mcmullins,mcmullin_north,52.06178,-128.41239,7,39,15.25,14.45,259.93,0.92,1.47,132.04,31.25,10.91,0.1044,3.0255,0.424,0.3311,5.9489,18500
6/27/2015,mcmullins,mcmullin_north,52.06178,-128.41239,7,39,15.25,14.45,259.93,0.92,1.47,132.04,31.25,10.91,0.1044,3.0255,0.424,0.3311,5.9489,18500
6/27/2015,mcmullins,mcmullin_north,52.06178,-128.41239,7,39,15.25,14.45,259.93,0.92,1.47,132.04,31.25,10.91,0.1044,3.0255,0.424,0.3311,5.9489,18500
6/27/2015,mcmullins,mcmullin_north,52.06178,-128.41239,7,39,15.25,14.45,259.93,0.92,1.47,132.04,31.25,10.91,0.1044,3.0255,0.424,0.3311,5.9489,18500
6/27/2015,mcmullins,mcmullin_south,52.05302,-128.40364,4,39.6,15.93,14.25,540.83,0.48,1.27,137.81,31.24,11.24,,,,,,16900
6/27/2015,mcmullins,mcmullin_south,52.05302,-128.40364,4,39.6,15.93,14.25,540.83,0.48,1.27,137.81,31.24,11.24,,,,,,16900
6/27/2015,mcmullins,mcmullin_south,52.05302,-128.40364,4,39.6,15.93,14.25,540.83,0.48,1.27,137.81,31.24,11.24,,,,,,16900
6/27/2015,mcmullins,mcmullin_south,52.05302,-128.40364,4,39.6,15.93,14.25,540.83,0.48,1.27,137.81,31.24,11.24,,,,,,16900
6/27/2015,mcmullins,mcmullin_south,52.05302,-128.40364,4,39.6,15.93,14.25,540.83,0.48,1.27,137.81,31.24,11.24,,,,,,16900
6/27/2015,mcmullins,mcmullin_south,52.05302,-128.40364,4,39.6,15.93,14.25,540.83,0.48,1.27,137.81,31.24,11.24,,,,,,16900
7/1/2015,triquet,triquet_north,51.80888,-128.24746,5,37.52,13.93,14.78,170.32,1.53,0.79,130.89,30.96,11.13,,,,,,7400
7/1/2015,triquet,triquet_north,51.80888,-128.24746,5,37.52,13.93,14.78,170.32,1.53,0.79,130.89,30.96,11.13,,,,,,7400
7/1/2015,triquet,triquet_north,51.80888,-128.24746,5,37.52,13.93,14.78,170.32,1.53,0.79,130.89,30.96,11.13,,,,,,7400
7/1/2015,triquet,triquet_north,51.80888,-128.24746,5,37.52,13.93,14.78,170.32,1.53,0.79,130.89,30.96,11.13,,,,,,7400
7/1/2015,triquet,triquet_north,51.80888,-128.24746,5,37.52,13.93,14.78,170.32,1.53,0.79,130.89,30.96,11.13,,,,,,7400
7/1/2015,triquet,triquet_north,51.80888,-128.24746,5,37.52,13.93,14.78,170.32,1.53,0.79,130.89,30.96,11.13,,,,,,7400
7/1/2015,triquet,triquet_bay_south,51.80869,-128.23586,5,38.11,14.68,12.32,88.1,0.98,0.83,133.58,30.91,11.18,0.0253,0.8792,0.824,0.2321,2.2959,33600
7/1/2015,triquet,triquet_bay_south,51.80869,-128.23586,5,38.11,14.68,12.32,88.1,0.98,0.83,133.58,30.91,11.18,0.0253,0.8792,0.824,0.2321,2.2959,33600
7/1/2015,triquet,triquet_bay_south,51.80869,-128.23586,5,38.11,14.68,12.32,88.1,0.98,0.83,133.58,30.91,11.18,0.0253,0.8792,0.824,0.2321,2.2959,33600
7/1/2015,triquet,triquet_bay_south,51.80869,-128.23586,5,38.11,14.68,12.32,88.1,0.98,0.83,133.58,30.91,11.18,0.0253,0.8792,0.824,0.2321,2.2959,33600
7/1/2015,triquet,triquet_bay_south,51.80869,-128.23586,5,38.11,14.68,12.32,88.1,0.98,0.83,133.58,30.91,11.18,0.0253,0.8792,0.824,0.2321,2.2959,33600
7/1/2015,triquet,triquet_bay_south,51.80869,-128.23586,5,38.11,14.68,12.32,88.1,0.98,0.83,133.58,30.91,11.18,0.0253,0.8792,0.824,0.2321,2.2959,33600
7/12/2015,pruth,pruth pocket,51.64555,-128.095333,7,,11.09830209,,,,,,30.89827945,,,,,,,
