site,sample ID,macrophyte ID,# of shoots in quadrat,foil weight,foil+ wet weight,foil+ dry weight,total dry weight,weight.#shoots,microepiphyte,macroepiphyte,drift seaweed,rooted seaweed
sandspit,e,zostera,10,8.35,,22.17,13.82,1.382,0.13,2.17,,
sandspit,c,zostera,4,10.1,69.94,17.2,7.1,1.775,,2.12,0.03,
sandspit,d,zostera,7,8.22,78.44,17.64,9.42,1.345714286,,3.24,0.47,
sandspit,a,zostera,4,8.09,43.31,12.87,4.78,1.195,0.1,0.9,,
sandspit,f,zostera,6,3.52,57.48,10.49,6.97,1.161666667,,3.2,,
sandspit,b,zostera,4,3.17,46.14,8.46,5.29,1.3225,0.05,2.4,0.07,
fitz,b,zostera,5,8.8,67.37,14.64,5.84,1.168,,0.1,0.03,0.05
fitz,c,zostera,11,8.48,62.21,14.51,6.03,0.548181818,,0.75,,0.228
fitz,e,zostera,5,8.1,33.7,10.5,2.4,0.48,,,,0.63
fitz,f,zostera,8,8.37,61.26,14.87,6.5,0.8125,,0.34,,3.51
fitz,a,zostera,14,7.71,106.43,20.82,13.11,0.936428571,,0.42,0.7,0.93
fitz,d,zostera,10,8.19,78.87,16.4,8.21,0.821,,0.05,,1.47
simmons,f,zostera,27,8.38,58.77,14.52,6.14,0.227407407,,,,
simmons,d,zostera,23,8.35,113.45,21.09,12.74,0.553913043,,,,
simmons,a,zostera,20,8.03,102.34,19.86,11.83,0.5915,,,,0.00361
simmons,e,zostera,32,9.54,48.49,14.32,4.78,0.149375,,,,
simmons,c,zostera,15,8.2,43.36,12.06,3.86,0.257333333,,,,
simmons,b,zostera,40,8.5,76.41,16.8,8.3,0.2075,,,,0.07
spitfire,d,zostera,28,8.23,88.42,20.1,11.87,0.423928571,,,,
spitfire,c,zostera,22,8.42,61.68,15.07,6.65,0.302272727,,,,1.05
spitfire,f,zostera,11,8.8,44.6,13.63,4.83,0.439090909,,,,
spitfire,b,zostera,8,7.9,49.09,14.65,6.75,0.84375,,,,0.34
spitfire,a,zostera,18,7.64,50.68,14.58,6.94,0.385555556,,,,
spitfire,e,zostera,16,8.39,,14.07,5.68,0.355,,0.38,0.12,0.97
storey's beach,a,zostera,9,4.42,48.72,12.72,8.3,0.922222222,,,,
storey's beach,c,zostera,14,5.04,85.16,17.98,12.94,0.924285714,,,,
storey's beach,b,zostera,13,9.86,80.33,20.41,10.55,0.811538462,,,,
storey's beach,d,zostera,13,9.76,88.16,23.1,13.34,1.026153846,,,,
storey's beach,f,zostera,38,9.91,101.99,24.63,14.72,0.387368421,,,,
storey's beach,e,zostera,17,9.98,90.17,21.71,11.73,0.69,,,,
San Joseph Bay,b,zostera,19,3,70.13,10.725,7.725,0.406578947,,0.74,5.21,0.37
San Joseph Bay,e,zostera,16,9.68,39.36,13.08,3.4,0.2125,,,,0.1
San Joseph Bay,d,zostera,13,9.81,33.15,12.28,2.47,0.19,,,0.73,0.25
San Joseph Bay,c,zostera,27,9.6,61.36,15.69,6.09,0.225555556,,,0.31,1.22
San Joseph Bay,a,zostera,27,9.6,67.63,16.12,6.52,0.241481481,,,0.06,
San Joseph Bay,f,zostera,22,9.67,69.72,15.96,6.29,0.285909091,,0.09,,0.09
Comox,c,zostera,4,9.78,45.18,14.2,4.42,1.105,,,0.51,
Comox,d,zostera,5,9.78,46.12,14.59,4.81,0.962,,,,
Comox,a,zostera,9,9.76,128.25,26.51,16.75,1.861111111,,,,
Comox,e,zostera,5,9.71,78.65,17.64,7.93,1.586,,,,
Comox,f,zostera,8,9.64,117.6,23.4,13.76,1.72,,,12.98,
Comox,b,zostera,9,9.73,108.1,22.19,12.46,1.384444444,,,,
Parksville,d,zostera,15,9.73,87.72,20.33,10.6,0.706666667,0.96,,0.12,0.02
Parksville,a,zostera,18,9.77,94.45,21.87,12.1,0.672222222,1.31,,,0.04
Parksville,b,zostera,18,9.68,64.68,17.7,8.02,0.445555556,1.8749,,,0.26
Parksville,f,zostera,20,9.68,74.65,18.88,9.2,0.46,2.287,,,
Parksville,e,zostera,11,9.72,56.13,16.75,7.03,0.639090909,2.2243,,0.13,0.33
Parksville,c,zostera,23,9.78,58,16.36,6.58,0.286086957,1.0799,,,
Tahsis,b,zostera,25,9.68,139.86,19.63,9.95,0.398,,,,
Tahsis,d,zostera,20,9.47,59.82,16,6.53,0.3265,,,,
Tahsis,f,zostera,14,9.42,67.7,16.8,7.38,0.527142857,,,,
Tahsis,a,zostera,15,9.6,42.47,13.41,3.81,0.254,,,,
Tahsis,e,zostera,16,9.53,83.29,18.83,9.3,0.58125,,,,
Tahsis,c,zostera,18,9.55,96.4,19.61,10.06,0.558888889,,,,0.03
Robbers,c,zostera,3,9.2,32.66,11.47,2.27,0.756666667,,,,
