year,site,site_quadrat_id,labels
2015,choked_inner,choked_inner_NA,chkd__NA
2015,choked_inner,choked_inner_1,chkd_n_1
2015,choked_inner,choked_inner_NA,chkd__NA.1
2015,choked_inner,choked_inner_NA,chkd__NA.2
2015,choked_inner,choked_inner_NA,chkd__NA.3
2015,choked_inner,choked_inner_2,chkd_n_2
2015,choked_inner,choked_inner_NA,chkd__NA.4
2015,choked_inner,choked_inner_NA,chkd__NA.5
2015,choked_sandspit,choked_sandspit_2,chkd_s_2
2015,choked_sandspit,choked_sandspit_4,chkd_s_4
2015,choked_sandspit,choked_sandspit_1,chkd_s_1
2015,choked_sandspit,choked_sandspit_6,chkd_s_6
2015,choked_sandspit,choked_sandspit_5,chkd_s_5
2015,choked_sandspit,choked_sandspit_3,chkd_s_3
2015,goose_south_east,goose_south_east_3,gs_sth_s_3
2015,goose_south_east,goose_south_east_1,gs_sth_s_1
2015,goose_south_east,goose_south_east_4,gs_sth_s_4
2015,goose_south_east,goose_south_east_2,gs_sth_s_2
2015,goose_south_east,goose_south_east_6,gs_sth_s_6
2015,goose_south_east,goose_south_east_5,gs_sth_s_5
2015,goose_south_west,goose_south_west_5,gs_sth_w_5
2015,goose_south_west,goose_south_west_4,gs_sth_w_4
2015,goose_south_west,goose_south_west_3,gs_sth_w_3
2015,goose_south_west,goose_south_west_6,gs_sth_w_6
2015,goose_south_west,goose_south_west_1,gs_sth_w_1
2015,goose_south_west,goose_south_west_2,gs_sth_w_2
2015,mcmullins_north,mcmullins_north_6,mcmllns_n_6
2015,mcmullins_north,mcmullins_north_4,mcmllns_n_4
2015,mcmullins_north,mcmullins_north_2,mcmllns_n_2
2015,mcmullins_north,mcmullins_north_3,mcmllns_n_3
2015,mcmullins_north,mcmullins_north_1,mcmllns_n_1
2015,mcmullins_north,mcmullins_north_5,mcmllns_n_5
2015,mcmullins_south,mcmullins_south_5,mcmllns_s_5
2015,mcmullins_south,mcmullins_south_1,mcmllns_s_1
2015,mcmullins_south,mcmullins_south_2,mcmllns_s_2
2015,mcmullins_south,mcmullins_south_6,mcmllns_s_6
2015,mcmullins_south,mcmullins_south_4,mcmllns_s_4
2015,mcmullins_south,mcmullins_south_3,mcmllns_s_3
2015,triquet_north,triquet_north_4,trqt_n_4
2015,triquet_north,triquet_north_3,trqt_n_3
2015,triquet_north,triquet_north_5,trqt_n_5
2015,triquet_north,triquet_north_1,trqt_n_1
2015,triquet_north,triquet_north_2,trqt_n_2
2015,triquet_north,triquet_north_6,trqt_n_6
2015,triquet_south,triquet_south_2,trqt_s_2
2015,triquet_south,triquet_south_1,trqt_s_1
2015,triquet_south,triquet_south_5,trqt_s_5
2015,triquet_south,triquet_south_4,trqt_s_4
2015,triquet_south,triquet_south_6,trqt_s_6
2015,triquet_south,triquet_south_3,trqt_s_3
