year,sample
2015,choked_inner_1
2015,choked_inner_2
2015,choked_inner_3
2015,choked_inner_4
2015,choked_inner_5
2015,choked_sandspit_1
2015,choked_sandspit_2
2015,choked_sandspit_3
2015,choked_sandspit_4
2015,choked_sandspit_5
2015,choked_sandspit_6
2015,goose_north_1
2015,goose_north_2
2015,goose_north_3
2015,goose_north_4
2015,goose_north_5
2015,goose_north_6
2015,goose_south_east_1
2015,goose_south_east_2
2015,goose_south_east_3
2015,goose_south_east_4
2015,goose_south_east_5
2015,goose_south_east_6
2015,goose_south_west_1
2015,goose_south_west_2
2015,goose_south_west_3
2015,goose_south_west_4
2015,goose_south_west_5
2015,goose_south_west_6
2015,mcmullins_north_1
2015,mcmullins_north_2
2015,mcmullins_north_3
2015,mcmullins_north_4
2015,mcmullins_north_5
2015,mcmullins_north_6
2015,mcmullins_south_1
2015,mcmullins_south_2
2015,mcmullins_south_3
2015,mcmullins_south_4
2015,mcmullins_south_5
2015,mcmullins_south_6
2015,triquet_north_2
2015,triquet_north_3
2015,triquet_north_4
2015,triquet_north_5
2015,triquet_north_6
2015,triquet_south_1
2015,triquet_south_2
2015,triquet_south_3
2015,triquet_south_4
2015,triquet_south_5
2015,triquet_south_6
